"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21"
220.22 15 404.2 115.91 46.85 1.981 3.745 91.993 246.61 274.17 4 1355.07 72.8 6.36 6.75 301.16 3250 163.39 2.946 64.69 7 12
171.4 20 278.31 125.32 34.88 1.489 2.662 91.993 222.62 249.55 4 1241.36 71.73 4.88 4.16 274.79 3273 166.5 3.09 61.9 6 10
182.62 35 292.34 124.61 36.43 1.428 3.111 91.993 239.181 267.92 18 6118.62 70.36 5.29 4.47 294.91 3245 143.42 3.041 56.47 6 7
138.45 15 331.34 105.69 35.02 1.546 3.655 55.403 256.129 288.35 4 1423.23 71.99 3.59 2.79 316.49 3249 172.21 2.881 66.55 9 10
191.91 20 288.35 155.18 44.75 1.395 2.515 79.195 241.691 273.48 4 1372.58 70.43 7.72 6.77 298.54 3273 173.7 2.991 56.76 10 20
168.45 20 427.2 63.89 27.29 1.87 4.682 46.169 254.573 285.62 4 1517.44 67.11 5.01 4.81 312.57 3258 157.28 2.926 74.74 8 10
105.47 15 281.33 97.4 27.4 1.447 2.924 55.403 229.763 259.79 4 1291.32 71.17 2.81 2.38 284.85 3240 170.74 2.889 68.4 9 14
82.21 30 281.33 74.84 21.05 1.468 2.924 55.403 229.763 259.75 4 1272.82 72.21 5.26 4.79 284.74 3245 173.91 2.949 68.24 12 18
109.93 20 389.23 32.6 12.69 1.81 3.843 55.403 248.822 279.87 18 6425.57 69.7 5.26 4.47 305.55 3230 165.81 2.855 47.74 7 8
96.56 25 301.31 46.58 14.04 1.527 3.598 46.169 230.583 261.02 8 2621.35 70.37 6.43 5.57 286.21 3279 154.97 3.015 55.3 6 11
118.39 20 267.75 82.38 22.06 1.527 3.381 46.169 212.822 241.44 4 1164.5 73.1 5.41 4.36 264.42 3225 175.79 2.904 65.36 8 8
128.76 25 281.78 92.9 26.18 1.427 3.83 46.169 229.383 259.82 18 5901.5 69.96 5.86 4.7 284.59 3230 169.71 2.865 50.41 7 10
150.78 25 326.23 108.02 35.24 1.611 3.961 46.169 233.732 264.36 18 6051.08 69.53 5.7 4.74 289.24 3225 170.08 2.855 50.1 6 10
172.19 30 373.23 74.01 27.62 1.787 4.235 46.169 239.837 270.97 18 6242.16 69.16 5.7 4.68 295.55 3219 170.04 2.852 47.78 5 9
103.63 30 251.3 68.21 17.14 1.478 2.867 46.169 204.217 232.48 8 2258.2 72.35 5.29 4.59 254.61 3248 179.09 2.898 59.98 6 8
99.07 20 247.34 112.29 27.77 1.32 3.152 46.169 215.847 246.36 4 1244.18 69.39 5.09 4.31 269.22 3233 172.88 2.925 50.31 7 12
94.56 20 267.75 88.05 23.58 1.444 3.381 46.169 212.822 241.42 4 1231.06 69.15 4.03 3.54 264.4 3252 175.42 3.008 51.79 9 13
97.73 20 265.33 81.37 21.59 1.427 3.315 46.169 220.778 250.86 8 2469 71.54 4.22 3.39 274.78 3274 161.02 2.93 54.82 9 13
153.58 35 276.31 107.88 29.81 1.54 2.622 69.961 221.077 250.71 8 2383.29 74.21 3.07 2.36 273.96 3254 170.93 3.045 65.25 8 15
98.67 15 326.23 44.21 14.42 1.636 3.961 46.169 233.732 264.36 4 1324.4 70.59 4.25 3.55 289.25 3269 167.9 2.981 72.59 10 18
177.13 15 337.21 116.27 39.21 1.734 3.267 69.961 234.031 264.19 4 1291.41 72.49 5.75 5.28 288.44 3225 161.82 3.021 71.99 9 11
110.45 20 312.2 90.8 28.35 1.721 3.512 46.169 217.171 245.95 4 1205.18 72.08 4.1 3.49 269.05 3246 169.93 2.915 74.2 8 7
142.14 15 342.23 102.44 35.06 1.691 3.569 55.403 242.717 273.31 4 1343.88 72.24 2.8 2.48 299.37 3247 167.16 2.905 68.76 8 16
166.99 10 380.2 101.13 38.45 1.816 4.408 46.169 248.469 279.02 2 695.33 71.47 2.98 2.53 306.26 3257 168.3 2.925 66.6 7 7
124.13 20 315.34 77.9 24.56 1.53 4.047 46.169 247.144 279.41 2 684.52 72.21 4.46 3.4 306.37 3252 167.69 2.959 65.75 7 10
168.62 25 326.32 116.64 38.06 1.613 3.353 69.961 247.443 279.25 8 2687.57 73.66 3.48 3.16 305.58 3227 170.52 3.031 76.16 7 8
116.77 15 261.37 122.24 31.95 1.359 3.6 46.169 232.408 264.75 2 638.68 72.78 5.07 4.27 289.36 3230 170.89 2.881 61.41 8 16
174.39 15 272.35 128.51 35 1.429 2.907 69.961 232.706 264.59 4 1265.69 73.54 7.87 6.71 288.58 3248 171.33 3.059 75.46 12 14
68.17 20 265.33 23.33 6.19 1.352 3.315 46.169 220.778 250.85 2 651.51 67.77 5.7 4.94 274.76 3256 171.04 3.014 73.89 8 8
88.73 20 281.78 78.21 22.04 1.483 3.83 46.169 229.383 259.82 2 630.97 72.71 4.21 3.59 284.58 3227 175.23 2.867 59.47 7 12
